Time,Position+AF8-x,Position+AF8-y,Metrics
8547.2005610466,+AC0-5,23,0
8551.1537001133,+AC0-6,23,0
8556.1758451462,+AC0-7,23,0
8560.1847219467,+AC0-8,23,0
8564.1976599693,+AC0-9,23,0
8568.2070651054,+AC0-10,23,0
8573.1871421337,+AC0-11,23,0
8577.2019340992,+AC0-12,23,0
8582.2276690006,+AC0-13,23,0
8587.2300751209,+AC0-14,23,0
8591.2295820713,+AC0-15,22,0
8595.2369771004,+AC0-16,22,0
8599.2300379276,+AC0-17,22,0
8604.2578599453,+AC0-18,22,0
8608.2492671013,+AC0-19,22,0
8632.3120720387,+AC0-18,21,0
8635.3186690807,+AC0-18,20,0
8639.3050460816,+AC0-18,19,0
8658.3534779549,+AC0-17,19,0
8659.339261055,+AC0-17,20,0
8661.3384311199,+AC0-16,20,0
8665.3708341122,+AC0-15,20,0
8669.3557889462,+AC0-14,20,0
8674.3645861149,+AC0-13,20,0
8675.3508610725,+AC0-13,21,0
8678.3645191193,+AC0-12,21,0
8683.3865571022,+AC0-11,21,0
8687.3815441132,+AC0-10,21,0
8691.39635396,+AC0-9,21,0
8694.3738660812,+AC0-9,22,0
8695.3863670826,+AC0-8,22,0
8700.3959169388,+AC0-7,22,0
8704.3854699135,+AC0-6,22,0
8709.4217300415,+AC0-5,22,0
8713.4047420025,+AC0-4,23,0
8717.4180750847,+AC0-3,23,0
8721.4147539139,+AC0-2,23,0
8726.4328150749,+AC0-1,23,0
8730.4964439869,0,23,0
8732.4436299801,0,24,1.7154999971
8740.4669289589,1,24,1.7537000179
8745.4825909138,2,24,1.641800046
8749.5078949928,3,24,1.4076000452
8752.4887099266,3,25,1.9359999895
8754.4841890335,4,25,1.5404000282
8758.498100996,5,25,1.1224999428
8762.5048999786,6,25,0.7491300106
8766.5119330883,7,25,0.4578799903
8770.5235581398,7,26,0.6493999958
8771.5221419335,8,26,0.3683399856
8791.5606489182,8,25,0.2563099861
8795.5483329296,8,24,0.1744700074
8798.5823419094,8,23,0
8801.6061611176,9,23,0
8819.6094770432,8,23,0
8822.643501997,7,22,0
8826.6547980309,6,22,0
8829.6346640587,5,22,0
8835.6277980805,4,22,0
8838.6555531025,3,22,0
8842.6686050892,2,22,0
8846.6793141365,1,22,0
8851.673486948,0,22,0
8859.6616220474,0,21,0
8860.6762990952,+AC0-1,21,0
8864.6722280979,+AC0-2,21,0
8868.6901400089,+AC0-3,21,0
8872.6817240715,+AC0-4,21,0
8876.723637104,+AC0-5,21,0
8881.6810119152,+AC0-6,21,0
8885.7069060803,+AC0-7,21,0
8889.7162079811,+AC0-8,21,0
8894.7125611305,+AC0-9,21,0
8898.7160480023,+AC0-10,21,0
8901.7255890369,+AC0-10,20,0
8902.7356550694,+AC0-11,20,0
8907.729115963,+AC0-12,20,0
8912.7420530319,+AC0-13,20,0
8916.7393040657,+AC0-14,20,0
8920.8141520023,+AC0-15,20,0
8924.7699999809,+AC0-16,20,0
8929.777269125,+AC0-17,20,0
8933.773004055,+AC0-18,20,0
8936.7796940804,+AC0-19,20,0
8957.8055200577,+AC0-19,19,0
8960.7929730415,+AC0-18,19,0
8961.7832400799,+AC0-18,18,0
8965.8131220341,+AC0-18,17,0
8986.8504259586,+AC0-17,17,0
8989.8458139896,+AC0-16,17,0
8993.8421289921,+AC0-15,17,0
8995.8584909439,+AC0-15,18,0
8997.850383997,+AC0-14,18,0
9000.8578360081,+AC0-13,18,0
9005.8572969437,+AC0-12,18,0
9010.8739790917,+AC0-11,18,0
9013.8782091141,+AC0-11,19,0
9015.8911011219,+AC0-10,19,0
9019.8976490498,+AC0-9,19,0
9024.9128191471,+AC0-8,19,0
9027.9177510738,+AC0-7,19,0
9029.9063470364,+AC0-7,20,0
9031.9136860371,+AC0-6,20,0
9035.918859005,+AC0-5,20,0
9040.930685997,+AC0-4,20,0
9045.9111909866,+AC0-3,20,0
9047.9363451004,+AC0-3,21,0
9049.9447219372,+AC0-2,21,0
9054.9301519394,+AC0-1,21,0
9057.9479551315,0,21,0
9064.9498729706,0,22,0
9066.9544920921,1,22,0
9071.9486601353,2,22,0
9075.9650170803,3,22,0
9080.9780910015,4,22,0
9083.9733350277,4,23,0
9084.9751179218,5,23,0
9088.982530117,6,23,0
9092.9921720028,7,23,0
9098.0232560635,8,23,0
9123.0576889515,8,22,0
9124.0733699799,9,22,0
9126.0578019619,9,21,0
9147.1015989781,9,20,0
9148.091807127,8,20,0
9152.0955181122,7,20,0
9155.1089229584,6,20,0
9159.1141290665,5,20,0
9164.1226649284,4,20,0
9167.128442049,3,20,0
9172.114743948,2,20,0
9176.1263160706,1,20,0
9178.1292519569,1,19,0
9181.1194939613,0,19,0
9190.1555249691,+AC0-1,19,0
9193.1623921394,+AC0-2,19,0
9197.1781060696,+AC0-3,19,0
9201.1729300022,+AC0-4,19,0
9206.1822011471,+AC0-5,19,0
9209.1917190552,+AC0-5,18,0
9210.1869249344,+AC0-6,18,0
9214.2067449093,+AC0-7,18,0
9219.1970660687,+AC0-8,18,0
9222.1998910904,+AC0-9,18,0
9226.2035429478,+AC0-10,18,0
9232.2349021435,+AC0-11,18,0
9236.2074980736,+AC0-12,18,0
9240.2244279385,+AC0-13,18,0
9244.2269260883,+AC0-13,17,0
9245.2510130406,+AC0-14,17,0
9249.260133028,+AC0-15,17,0
9253.2632069588,+AC0-16,17,0
9257.288515091,+AC0-17,17,0
9261.2956590653,+AC0-18,17,0
9284.310931921,+AC0-18,16,0
9288.3461239338,+AC0-18,15,0
9291.3299131394,+AC0-18,14,0
9311.3522601128,+AC0-17,14,0
9315.3573949337,+AC0-16,14,0
9318.3656859398,+AC0-15,14,0
9322.3660519123,+AC0-14,14,0
9326.3792150021,+AC0-13,14,0
9329.3777890205,+AC0-13,15,0
9330.3935420513,+AC0-12,15,0
9335.4014999867,+AC0-11,15,0
9339.4108541012,+AC0-10,15,0
9343.4150130749,+AC0-9,15,0
9347.417566061,+AC0-8,15,0
9351.4167630673,+AC0-7,15,0
9355.4140040875,+AC0-6,15,0
9361.4431331158,+AC0-5,15,0
9364.4455111027,+AC0-4,16,0
9368.4405999184,+AC0-3,16,0
9372.4625120163,+AC0-2,16,0
9376.4794120789,+AC0-1,16,0
9381.4950799942,0,16,0
9389.4980609417,1,16,0
9393.4870169163,2,16,0
9397.4900281429,3,17,0
9401.5154099464,4,17,0
9406.5076439381,5,17,0
9410.5244710445,6,17,0
9414.520015955,7,17,0
9419.5350110531,8,17,0
9423.5353169441,9,17,0
9428.5300180912,10,17,0
9453.5718479157,10,16,0
9454.5705571175,11,16,0
9457.5813100338,11,15,0
9460.5793659687,11,14,0
9480.6060140133,10,14,0
9483.6156489849,9,14,0
9486.6337659359,8,14,0
9491.6700799465,7,14,0
9494.6359701157,6,14,0
9499.6448919773,5,14,0
9503.665209055,4,14,0
9504.6354010105,4,13,0
9508.6523370743,3,13,0
9512.6623630524,2,13,0
9516.6693150997,1,13,0
9521.6869311333,0,13,0
9529.6999800205,+AC0-1,13,0
9533.7042341232,+AC0-2,13,0
9534.7401869297,+AC0-2,12,0
9536.7463440895,+AC0-3,12,0
9541.7387700081,+AC0-4,12,0
9545.7469511032,+AC0-5,12,0
9550.7635850906,+AC0-6,12,0
9554.7382190228,+AC0-7,12,0
9558.7514050007,+AC0-8,12,0
9562.7819240093,+AC0-9,12,0
9564.7736070156,+AC0-9,11,0
9566.7832541466,+AC0-10,11,0
9570.7919960022,+AC0-11,11,0
9575.7885439396,+AC0-12,11,0
9580.7739911079,+AC0-13,11,0
9584.8022639752,+AC0-14,11,0
9588.8042039871,+AC0-15,11,0
9592.8236830235,+AC0-16,11,0
9616.8608279228,+AC0-16,10,0
9619.8523080349,+AC0-16,9,0
9623.858727932,+AC0-15,8,0
9646.8940341473,+AC0-14,8,0
9649.902269125,+AC0-13,8,0
9653.8969471455,+AC0-12,9,0
9657.9073109627,+AC0-11,9,0
9662.906799078,+AC0-10,9,0
9667.9187231064,+AC0-9,9,0
9670.9406759739,+AC0-9,10,0
9671.9396529198,+AC0-8,10,0
9675.9451861382,+AC0-7,10,0
9679.9541540146,+AC0-6,10,0
9684.9430420399,+AC0-5,10,0
9685.9346010685,+AC0-5,11,0
9688.9503641129,+AC0-4,11,0
9693.9666481018,+AC0-3,11,0
9697.9594159126,+AC0-2,11,0
9701.9664769173,+AC0-1,11,0
9702.9682750702,+AC0-1,12,0
9706.9822311401,0,12,0
9716.0050051212,1,12,0
9719.9970481396,2,13,0
9724.9915280342,3,13,0
9729.0034351349,4,13,0
9733.0018939972,5,13,0
9735.0114409924,5,14,0
9737.0216860771,6,14,0
9742.0416381359,7,14,0
9747.0464980602,8,14,0
9751.0429749489,9,14,0
9752.0476551056,9,15,0
9754.0469660759,10,15,0
9778.120757103,11,15,0
9779.0803351402,11,14,0
9783.1339719296,11,13,0
9786.0894610882,11,12,0
9808.1292870045,10,12,0
9811.1319320202,9,12,0
9815.1263849735,8,12,0
9817.1403839588,8,11,0
9819.1400330067,7,11,0
9823.1631391049,6,11,0
9827.1825959683,5,11,0
9833.1673610211,4,11,0
9836.1681110859,3,11,0
9840.1761569977,2,11,0
9844.1897780895,1,11,0
9847.1944680214,1,10,0
9849.1962549687,0,10,0
9858.1948399544,+AC0-1,10,0
9863.2056291103,+AC0-2,10,0
9867.2427740097,+AC0-3,10,0
9872.2238061428,+AC0-4,10,0
9875.2329089642,+AC0-5,10,0
9878.2464849949,+AC0-5,9,0
9879.2403011322,+AC0-6,9,0
9884.2612330914,+AC0-7,9,0
9887.2434289456,+AC0-8,9,0
9892.2521939278,+AC0-9,9,0
9896.2706420422,+AC0-10,9,0
9900.3072271347,+AC0-11,9,0
9905.3060910702,+AC0-12,9,0
9909.3085100651,+AC0-13,8,0
9913.2982311249,+AC0-14,8,0
9918.3005559445,+AC0-15,8,0
9922.3430390358,+AC0-16,8,0
9945.3517251015,+AC0-15,7,0
9948.3505010605,+AC0-15,6,0
9952.3508961201,+AC0-15,5,0
9971.3800880909,+AC0-14,5,0
9973.3962919712,+AC0-14,6,0
9974.3868839741,+AC0-13,6,0
9978.3737030029,+AC0-12,6,0
9981.4039409161,+AC0-11,6,0
9986.4394450188,+AC0-10,6,0
9987.4413330555,+AC0-10,7,0
9990.4300370216,+AC0-9,7,0
9995.431000948,+AC0-8,7,0
9999.4595530033,+AC0-7,7,0
10001.4600150585,+AC0-7,8,0
10003.466809988,+AC0-6,8,0
10007.5072209835,+AC0-5,8,0
10012.5304889679,+AC0-4,8,0
10016.5179829597,+AC0-3,8,0
